year,quarter,lad_code,claimant_count
2018,Q2,E07000061,1593
2018,Q2,E07000062,2600
2018,Q2,E07000063,710
2018,Q2,E07000064,1145
2018,Q2,E07000065,713
2018,Q2,E07000066,2630
2018,Q2,E07000067,1328
2018,Q2,E07000068,553
2018,Q2,E07000069,552
2018,Q2,E07000070,1192
2018,Q2,E07000071,1407
2018,Q2,E07000072,987
2018,Q2,E07000073,1525
2018,Q2,E07000074,368
2018,Q2,E07000075,450
2018,Q2,E07000076,2123
2018,Q2,E07000077,383
2018,Q2,E07000078,970
2018,Q2,E07000079,460
2018,Q2,E07000080,845
2018,Q2,E07000081,1420
2018,Q2,E07000082,767
2018,Q2,E07000083,565
2018,Q2,E07000084,1048
2018,Q2,E07000085,443
2018,Q2,E07000086,960
2018,Q2,E07000087,545
2018,Q2,E07000088,797
2018,Q2,E07000089,263
2018,Q2,E07000090,1170
2018,Q2,E07000091,842
2018,Q2,E07000092,527
2018,Q2,E07000093,540
2018,Q2,E07000094,487
2018,Q2,E07000095,1057
2018,Q2,E07000096,1120
2018,Q2,E07000098,845
2018,Q2,E07000099,940
2018,Q2,E07000102,675
2018,Q2,E07000103,1167
2018,Q2,E07000105,1363
2018,Q2,E07000106,1413
2018,Q2,E07000107,765
2018,Q2,E07000108,2240
2018,Q2,E07000109,1390
2018,Q2,E07000110,1238
2018,Q2,E07000111,522
2018,Q2,E07000112,1560
2018,Q2,E07000113,2452
2018,Q2,E07000114,4038
2018,Q2,E07000115,742
2018,Q2,E07000116,623
2018,Q2,E07000117,2668
2018,Q2,E07000118,1137
2018,Q2,E07000119,632
2018,Q2,E07000120,1550
2018,Q2,E07000121,2665
2018,Q2,E07000122,1205
2018,Q2,E07000123,2260
2018,Q2,E07000124,288
2018,Q2,E07000125,972
2018,Q2,E07000126,943
2018,Q2,E07000127,1512
2018,Q2,E07000128,978
2018,Q2,E07000129,455
2018,Q2,E07000130,982
2018,Q2,E07000131,523
2018,Q2,E07000132,1063
2018,Q2,E07000133,645
2018,Q2,E07000134,657
2018,Q2,E07000135,283
2018,Q2,E07000136,673
2018,Q2,E07000137,1653
2018,Q2,E07000138,1867
2018,Q2,E07000139,650
2018,Q2,E07000140,667
2018,Q2,E07000141,1620
2018,Q2,E07000142,1185
2018,Q2,E07000143,960
2018,Q2,E07000144,640
2018,Q2,E07000145,3070
2018,Q2,E07000146,957
2018,Q2,E07000147,532
2018,Q2,E07000148,1768
2018,Q2,E07000149,697
2018,Q2,E07000170,1675
2018,Q2,E07000171,1450
2018,Q2,E07000172,1097
2018,Q2,E07000173,1113
2018,Q2,E07000174,1382
2018,Q2,E07000175,1005
2018,Q2,E07000176,617
2018,Q2,E07000177,825
2018,Q2,E07000178,1445
2018,Q2,E07000179,665
2018,Q2,E07000180,762
2018,Q2,E07000181,580
2018,Q2,E07000192,900
2018,Q2,E07000193,893
2018,Q2,E07000194,752
2018,Q2,E07000195,1192
2018,Q2,E07000196,935
2018,Q2,E07000197,828
2018,Q2,E07000198,597
2018,Q2,E07000199,890
2018,Q2,E07000200,623
2018,Q2,E07000202,1900
2018,Q2,E07000203,497
2018,Q2,E07000207,518
2018,Q2,E07000208,387
2018,Q2,E07000209,568
2018,Q2,E07000210,292
2018,Q2,E07000211,752
2018,Q2,E07000212,375
2018,Q2,E07000213,572
2018,Q2,E07000214,348
2018,Q2,E07000215,520
2018,Q2,E07000216,383
2018,Q2,E07000217,440
2018,Q2,E07000218,530
2018,Q2,E07000219,2142
2018,Q2,E07000220,1438
2018,Q2,E07000221,778
2018,Q2,E07000222,760
2018,Q2,E07000223,505
2018,Q2,E07000224,1158
2018,Q2,E07000225,715
2018,Q2,E07000226,997
2018,Q2,E07000227,610
2018,Q2,E07000228,387
2018,Q2,E07000229,878
2018,Q2,E07000234,753
2018,Q2,E07000235,530
2018,Q2,E07000236,1220
2018,Q2,E07000237,1125
2018,Q2,E07000238,810
2018,Q2,E07000239,978
2018,Q2,E07000240,1105
2018,Q2,E07000241,1188
2018,Q2,E07000242,622
