feature,intended_type,actual_pandas_dtype,feature_group,missing_rate_all_rows,nunique_all_rows
target_log_growth_lag1q,float32_numeric,float64,target history,0.06033117350611951,5306
target_log_growth_lag4q,float32_numeric,float64,target history,0.19769618430525557,4707
year,int16_time,int16,time / policy,0.0,7
quarter_num,int16_time,int8,time / policy,0.0,4
quarter_index,int16_time,int16,time / policy,0.0,24
quarter_sin,float32_time,float32,time / policy,0.0,4
quarter_cos,float32_time,float32,time / policy,0.0,4
post_covid_2020plus,int8_binary,int8,time / policy,0.0,2
cost_of_living_shock_2022plus,int8_binary,int8,time / policy,0.0,2
lad_E06000001,int8_dummy,int8,LAD fixed effect,0.0,2
lad_E06000006,int8_dummy,int8,LAD fixed effect,0.0,2
lad_E06000008,int8_dummy,int8,LAD fixed effect,0.0,2
lad_E06000013,int8_dummy,int8,LAD fixed effect,0.0,2
lad_E06000014,int8_dummy,int8,LAD fixed effect,0.0,2
lad_E06000019,int8_dummy,int8,LAD fixed effect,0.0,2
lad_E06000020,int8_dummy,int8,LAD fixed effect,0.0,2
lad_E06000022,int8_dummy,int8,LAD fixed effect,0.0,2
lad_E06000024,int8_dummy,int8,LAD fixed effect,0.0,2
lad_E06000025,int8_dummy,int8,LAD fixed effect,0.0,2
lad_E06000027,int8_dummy,int8,LAD fixed effect,0.0,2
